Unnamed: 0,ano,id_municipio,id_escola,localizacao,rede,atu_ei,atu_ef,atu_ef_anos_iniciais,atu_ef_anos_finais,atu_em,had_ei,had_ef,had_ef_anos_iniciais,had_ef_anos_finais,had_em,tdi_ef,tdi_ef_anos_iniciais,tdi_ef_anos_finais,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_ef_anos_iniciais,taxa_aprovacao_ef_anos_finais,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_ef_anos_iniciais,taxa_reprovacao_ef_anos_finais,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,taxa_abandono_em,dsu_ei,dsu_ef,dsu_ef_anos_iniciais,dsu_ef_anos_finais,dsu_em
3101048,2018,3511003.0,35434474.0,rural,municipal,13.0,22.2,22.2,,,4.0,5.3,5.3,,,3.6,3.6,,,98.1,98.1,,,1.9,1.9,,,0.0,0.0,,,100.0,100.0,100.0,,
3101049,2018,3103900.0,31031917.0,urbana,municipal,,19.8,19.8,,,,4.3,4.3,,,0.8,0.8,,,100.0,100.0,,,0.0,0.0,,,0.0,0.0,,,,100.0,100.0,,
3101050,2018,1717909.0,17052483.0,urbana,privada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101051,2018,2611606.0,26468719.0,urbana,privada,5.3,7.6,7.6,,,4.0,4.0,4.0,,,21.1,21.1,,,97.4,97.4,,,2.6,2.6,,,0.0,0.0,,,0.0,66.7,66.7,,
3101052,2018,2105963.0,21249270.0,urbana,municipal,21.6,24.4,24.4,,,3.7,4.0,4.0,,,7.7,7.7,,,96.4,96.4,,,3.6,3.6,,,0.0,0.0,,,71.4,78.6,78.6,,
3101053,2018,2501807.0,25091220.0,urbana,municipal,23.5,22.4,22.4,,,4.5,4.5,4.5,,,29.5,29.5,,,95.0,95.0,,,5.0,5.0,,,0.0,0.0,,,66.7,66.7,66.7,,
3101054,2018,1503200.0,15530167.0,rural,municipal,2.0,6.0,,,,4.3,,,,,66.7,66.7,,,83.3,83.3,,,16.7,16.7,,,0.0,0.0,,,0.0,0.0,,0.0,
3101055,2018,2112456.0,21262730.0,rural,municipal,6.0,28.0,,,,,,,,,75.0,70.8,100.0,,100.0,100.0,100.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,100.0,,100.0,
3101056,2018,2312601.0,23200529.0,urbana,privada,14.0,15.3,15.8,14.0,,4.0,4.0,4.0,4.0,,1.9,1.3,3.6,,100.0,100.0,100.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,66.7,42.9,60.0,33.3,
3101057,2018,2800506.0,28006623.0,rural,municipal,15.0,12.0,5.0,,,,4.0,4.0,,,19.4,19.4,,,89.2,89.2,,,10.8,10.8,,,0.0,0.0,,,0.0,100.0,100.0,100.0,
3101058,2018,2918100.0,29112737.0,rural,municipal,18.0,27.8,,29.5,,4.0,4.2,,4.2,,55.7,28.6,66.9,,78.6,93.8,72.1,,11.3,6.2,13.5,,10.1,0.0,14.4,,100.0,54.5,,54.5,
3101059,2021,1200401.0,12013374.0,urbana,estadual,,36.6,,36.6,,,4.3,,4.3,,16.3,,16.3,,91.0,,91.0,,3.1,,3.1,,5.9,,5.9,,,100.0,,100.0,
3101060,2021,1501303.0,15576337.0,rural,municipal,,32.4,29.6,34.6,,,4.0,4.0,4.0,,37.4,31.6,41.3,,97.0,97.4,96.8,,0.0,0.0,0.0,,3.0,2.6,3.2,,,95.7,88.9,94.1,
3101061,2021,1501402.0,15161552.0,rural,municipal,15.5,14.6,14.8,,,4.0,4.0,4.0,,,9.8,9.8,,,99.5,99.5,,,0.5,0.5,,,0.0,0.0,,,100.0,100.0,100.0,100.0,
